Vendor,VendorCity,VendorID,VendorLatitude,VendorLongitude,VendorStateProvince,VendorCountry,Weight
Lost Keys Games,Key West,1119,24.55610085,-81.75959778,Florida,United States,2
Fast Games and Hobbies,Cedar Rapids,1120,41.88470078,-91.71080017,Iowa,United States,3
Desmond's Games,Des Moines,1121,41.5340004,-93.6631012,Iowa,United States,3
Children of Boudicca Games,Corpus Christi,1122,27.77039909,-97.50119781,Texas,United States,3
Musky Hobbies,Muskegon,1123,43.2341813,-86.2483921,Michigan,United States,2
Tallullah's Games,Tallahassee,1124,30.39649963,-84.35030365,Florida,United States,3
Batty Times Gaming,Carlsbad,1125,33.1580933,-117.3505939,California,United States,3
Balsa Games,Tulsa,1126,36.19839859,-95.88809967,Oklahoma,United States,3
Empire State RC and Games,Syracuse,1127,43.11119843,-76.10630035,New York,United States,3
Lancelot Games,Lansing,1128,42.77870178,-84.58740234,Michigan,United States,3
Genny's Screamin Games,Rochester,1129,43.1189003,-77.67240143,New York,United States,3
Lex's Games,Lexington,1130,38.03649902,-84.60590363,Kentucky,United States,4
Rodeo Hobbies & Toys,Laredo,1131,27.54380035,-99.46160126,Texas,United States,2
Palmster games,Palm Springs,1132,33.82970047,-116.5070038,California,United States,3
Red Games,Baton Rouge,1133,30.53319931,-91.14959717,Louisiana,United States,3
Children of the Corn Toys,Brownsville,1134,25.90679932,-97.42590332,Texas,United States,2
Games of Ham,Birmingham,1135,33.56290054,-86.75350189,Alabama,United States,3
Mouse Hobbies & Toys,Mosinee,1136,44.7930232,-89.7031784,Wisconsin,United States,2
Playtime Game & Hobby Shop,Lafayette,1137,30.20529938,-91.98760223,Louisiana,United States,2
Making a Killeen Games,Killeen,1138,31.06719971,-97.8289032,Texas,United States,1
Silly Hobbies & Toys,Lawton,1139,34.6035669,-98.3959291,Oklahoma,United States,2
Cola Games,Pensacola,1140,30.47340012,-87.18659973,Florida,United States,3
King's Games,Kingsport,1141,36.47520065,-82.40740204,Tennessee,United States,2
Bilbos Game Hovel,Biloxi,1142,30.40730095,-89.07009888,Mississippi,United States,2
Newbie Games,Newport News,1143,37.13190079,-76.49299622,Virginia,United States,2
Golden Games,Eureka,1144,40.97809982,-124.1090012,California,United States,3
Wow Games,Waco,1145,31.61129951,-97.23049927,Texas,United States,2
Smitty's Games,Fort Smith,1146,35.33660126,-94.36740112,Arkansas,United States,2
Portal Games,Portland,1147,43.64619827,-70.30930328,Maine,United States,3
Double Games,Duluth,1148,46.84209824,-92.19360352,Minnesota,United States,3
Choo Choo Games,Chattanooga,1149,35.03530121,-85.20379639,Tennessee,United States,3
Just Trains and Games,Manchester,1150,42.93259811,-71.43569946,New Hampshire,United States,3
The Collegium,College Station,1151,30.58860016,-96.36380005,Texas,United States,3
September Games,Augusta,1152,33.36989975,-81.96450043,Georgia,United States,3
Great Nails Games,Knoxville,1153,35.81100082,-83.9940033,Tennessee,United States,3
Tippy Games,Tyler,1154,32.35409927,-95.40239716,Texas,United States,2
Playin Peoria Games,Peoria,1155,40.66419983,-89.69329834,Illinois,United States,3
Playtime Game & Hobby Shop,Harrisburg,1156,40.19350052,-76.76339722,Pennsylvania,United States,3
Hobbies on a Mission ,Mission,1157,26.17580032,-98.23860168,Texas,United States,2
Which Way RC & Trains,Wichita,1158,37.64989853,-97.43309784,Kansas,United States,3
Red Games,Green Bay,1159,44.48509979,-88.12960052,Wisconsin,United States,2
Growin Games,Greer,1160,34.89569855,-82.21890259,South Carolina,United States,2
Turkey Games,Eagle,1161,39.64260101,-106.9179993,Colorado,United States,3
Big Lake games,Grand Rapids,1162,42.88079834,-85.52279663,Michigan,United States,3
Playtime Game & Hobby Shop,Charleston,1163,38.37310028,-81.59320068,West Virginia,United States,3
Moving Games,Mobile,1164,30.69120026,-88.24279785,Alabama,United States,3
Playtime Game & Hobby Shop,Albany,1165,42.74829865,-73.80169678,New York,United States,3
Settle for Games,Sitka,1166,57.04710007,-135.3619995,Alaska,United States,1
Yakitup Games,Yakutat,1167,59.50329971,-139.6600037,Alaska,United States,1
Private Games,Idaho Falls,1168,43.51459885,-112.0709991,Idaho,United States,2
Soda Games,Sarasota,1169,27.39539909,-82.55439758,Florida,United States,2
Val's Games,Valparaiso,1170,30.48320007,-86.52539825,Florida,United States,2
Rowin Diversions,Roanoke,1171,37.32550049,-79.97540283,Virginia,United States,3
Lincoln's Games,Springfield,1172,39.84410095,-89.67790222,Illinois,United States,3
Playtime Game & Hobby Shop,Evansville,1173,38.03699875,-87.53240204,Indiana,United States,3
Conjunction Games,Grand Junction,1174,39.12239838,-108.5270004,Colorado,United States,3
Speaking Games,Spokane,1175,47.61989975,-117.5339966,Washington,United States,4
Arlen Toys and Games,Harlingen,1176,26.22850037,-97.65440369,Texas,United States,2
Sunny Games,Sun Valley,1177,43.50439835,-114.2959976,Idaho,United States,2
Orange Games,Appleton,1178,44.2619309,-88.4153847,Wisconsin,United States,1
Show Me Games,Springfield,1179,37.24570084,-93.38860321,Missouri,United States,3
Angel's Games,San Angelo,1180,31.35770035,-100.4960022,Texas,United States,2
Flintstone Games,Flint,1181,42.9654007,-83.74359894,Michigan,United States,3
Woody's Games,Cedar City,1182,37.70100021,-113.098999,Utah,United States,2
Huntin-for-a-Game,Huntsville,1183,34.6371994,-86.77510071,Alabama,United States,2
Betty's Games,Bethlehem,1184,40.65209961,-75.44080353,Pennsylvania,United States,4
Poking Games,Pocatello,1185,42.90980148,-112.5960007,Idaho,United States,2
Double Trouble Games,Twin Falls,1186,42.48180008,-114.487999,Idaho,United States,2
Jarhead Game Store,Camp Lejeune,1187,34.82920074,-77.61209869,North Carolina,United States,3
Long Games,Longview,1188,32.38399887,-94.71150208,Texas,United States,1
Fay's Games,Fayetteville,1189,34.99119949,-78.88030243,North Carolina,United States,2
Chico's Giant Games,Chico,1190,39.7284944,-121.8374777,California,United States,4
Alex's Games,Alexandria,1191,31.32740021,-92.54979706,Louisiana,United States,2
Playtime Game & Hobby Shop,Adak Island,1192,51.87799835,-176.6459961,Alaska,United States,1
Myrtle's Games,Myrtle Beach,1193,33.67969894,-78.92829895,South Carolina,United States,2
Bendable Games,South Bend,1194,41.70869827,-86.31729889,Indiana,United States,3
Monty's RC and Trains,Montgomery,1195,32.30059814,-86.39399719,Alabama,United States,2
Avalon Ville Games,Asheville,1196,35.43619919,-82.54180145,North Carolina,United States,2
Daylong Toys and RC Shop,Daytona Beach,1197,29.17989922,-81.05809784,Florida,United States,3
Flaggin Games,Flagstaff,1198,35.13850021,-111.6709976,Arizona,United States,3
Eugene's Games,Eugene,1199,44.12459946,-123.211998,Oregon,United States,3
Santa's Toy Shoppe,Santa Maria,1200,34.89889908,-120.4570007,California,United States,2
Moonshine Games,Crescent City,1201,41.78020096,-124.2369995,California,United States,2
Wilma's Crafts and Hobbies,Wilmington,1202,34.27059937,-77.90260315,North Carolina,United States,2
Genesse Screamer Games,Rochester,1203,43.90829849,-92.5,Minnesota,United States,3
Voldemort Games,Valdosta,1204,30.78249931,-83.27670288,Georgia,United States,3
Aussie Games,Melbourne,1205,28.10280037,-80.64530182,Florida,United States,3
Praline Games,Moline,1206,41.44850159,-90.50749969,Illinois,United States,2
Bozo Games,Bozeman,1207,45.77750015,-111.1529999,Montana,United States,2
Great Trains & RC Planes,Great Falls,1208,47.48199844,-111.3710022,Montana,United States,3
Bubbly Games,Champaign,1209,40.03919983,-88.27809906,Illinois,United States,2
Slip games,Islip,1210,40.79520035,-73.10019684,New York,United States,1
Red Games,Panama City,1211,30.1588129,-85.6602058,Florida,United States,3
Web of Games,Charlotte Amalie,1212,18.33729935,-64.9733963,U.S. Virgin Islands,United States,2
Zulu! Games,Missoula,1213,46.91630173,-114.0910034,Montana,United States,3
Gainesville Games,Gainesville,1214,29.69009972,-82.27179718,Florida,United States,3
Christopher's Games,Columbus,1215,32.5163002,-84.93890381,Georgia,United States,3
Saucy Hobbies,Worcester,1216,42.263571,-71.79721,Massachusetts,United States,3
The Armchair General,Helena,1217,46.60680008,-111.9830017,Montana,United States,3
The Armchair General,Billings,1218,45.80770111,-108.5429993,Montana,United States,2
Bloomin Games,Bloomington,1219,40.47710037,-88.91590118,Illinois,United States,3
Kazoo Games,Kalamazoo,1220,42.23490143,-85.55210114,Michigan,United States,2
Bowser's House of Fun,Lincoln,1221,40.85100174,-96.75920105,Nebraska,United States,3
Beauty Games,Butte,1222,45.95479965,-112.4970016,Montana,United States,2
Games People Play,Canton,1223,42.158432,-71.144773,Massachusetts,United States,3
The War Emporium,Marquette,1224,46.543544,-87.395417,Michigan,United States,1
Razor Edge Games,Gillette,1225,44.2910915,-105.5022205,Wyoming,United States,1
Mufflers & Games,Monroe,1226,32.51089859,-92.03769684,Louisiana,United States,2
Pony Games,Abilene,1227,32.41130066,-99.68190002,Texas,United States,3
Santa's Games,Santa Fe,1228,35.61709976,-106.0889969,New Mexico,United States,3
Al's Games,Albany,1229,31.53549957,-84.19450378,Georgia,United States,3
Tiny's games,Texarkana,1230,33.45370102,-93.99099731,Arkansas,United States,2
Water Games,Watertown,1231,43.9919014,-76.021698,New York,United States,2
The Collegium ,State College,1232,40.84930038,-77.84870148,Pennsylvania,United States,3
Elmo's Games,Elmira,1233,42.15990067,-76.89160156,New York,United States,3
Which Way Games,Wichita Falls,1234,33.98880005,-98.49189758,Texas,United States,2
Eric's RC and Trains,Erie,1235,42.08312701,-80.17386675,Pennsylvania,United States,3
Jack's Games,Jackson,1236,43.6072998,-110.737999,Wyoming,United States,1
Grizzly Games,Kodiak,1237,57.788026,-152.4940033,Alaska,United States,1
Area 51 Games,Roswell,1238,33.30160141,-104.5309982,New Mexico,United States,2
Lawrence's Games,Elko,1239,40.82490158,-115.7919998,Nevada,United States,2
Live Pony Hobbies,Deadhorse,1240,70.19470215,-148.4649963,Alaska,United States,1
Great Ulysses Hobbies,Ithaca,1241,42.49100113,-76.45839691,New York,United States,3
Beads & Games,Ft. Riley,1242,39.14099884,-96.67079926,Kansas,United States,2
Freezin Games,Williston,1243,48.17789841,-103.6419983,North Dakota,United States,2
Giant Spoon Games,Grand Forks,1244,47.94929886,-97.17610168,North Dakota,United States,3
Spelling Games,Kalispell,1245,48.3105011,-114.2559967,Montana,United States,1
Web of Games,Charlottesville,1246,38.1385994,-78.45290375,Virginia,United States,2
Bingo Games,Binghamton,1247,42.20869827,-75.97979736,New York,United States,3
Shot and Pike Games,Lake Charles,1248,30.12610054,-93.22329712,Louisiana,United States,2
Broom's Craft & Hobby Warehouse,Brunswick,1249,31.25880051,-81.46649933,Georgia,United States,3
Napoleon's Games,Waterloo,1250,42.55709839,-92.40029907,Iowa,United States,2
Morehead Games,New Berne,1251,35.07300186,-77.04290009,North Carolina,United States,3
Playtime Game & Hobby Shop,Wilkes-Barre,1252,41.33850098,-75.7233963,Pennsylvania,United States,3
Del's Games,Del Rio,1253,29.37420082,-100.927002,Texas,United States,1
Giant Games,Mammoth Lakes,1254,37.648546,-118.972079,California,United States,2
Tabasco Hobby Emporium,Pasco,1255,46.26470184,-119.1190033,Washington,United States,2
Bridge Games,Poughkeepsie,1256,41.5041008,-74.10479736,New York,United States,3
Games Shoppe of Richmond,Redmond,1257,44.2541008,-121.1500015,Oregon,United States,3
The Marquise of Montrose,Montrose,1258,38.50979996,-107.8939972,Colorado,United States,2
Haystack Game Shack,Hayden,1259,40.4894302,-107.2636842,Colorado,United States,3
Modest Hobby Merchants,Modesto,1260,37.62580109,-120.9540024,California,United States,3
Studly Games,Christiansted,1261,17.70190048,-64.79859924,U.S. Virgin Islands,United States,1
Playtime Game & Hobby Shop,Dothan,1262,31.32130051,-85.44960022,Alabama,United States,2
Chris & Isabella's Games,Columbus,1263,33.45029831,-88.59140015,Mississippi,United States,3
Slow Games Warehouse,Rapid City,1264,44.04529953,-103.0569992,South Dakota,United States,2
Ringabell Games,Bellingham,1265,48.7928009,-122.538002,Washington,United States,2
Janice's Games,Joplin,1266,37.15179825,-94.49829865,Missouri,United States,2
Star Games,La Crosse,1267,43.87900162,-91.25669861,Wisconsin,United States,1
Incan Crafts and Hobbies,Peru,1268,42.438142,-73.045934,Massachusetts,United States,1
Cowboy Games,Durango,1269,37.27528,-107.8800667,Colorado,United States,2
Playtime Game & Hobby Shop,Escanaba,1270,45.7452466,-87.0645801,Michigan,United States,1
Holster Games,Gunnison,1271,38.5458246,-106.9253207,Colorado,United States,4
Clay's Games,Eau Claire,1272,44.86579895,-91.48429871,Wisconsin,United States,1
Small Beach Games,Grand Island,1273,40.96749878,-98.30960083,Nebraska,United States,2
Dean's Games,Aberdeen,1274,45.44910049,-98.42179871,South Dakota,United States,2
Paddy's Games,Paducah,1275,37.06079865,-88.77380371,Kentucky,United States,2
Fleming Games,Sioux City,1276,42.40259933,-96.38439941,Iowa,United States,3
Backyard Enthusiast,Garden City,1277,37.92750168,-100.723999,Kansas,United States,2
Trending Games,Trenton,1278,40.27669907,-74.81349945,New Jersey,United States,3
John's Games,Hancock,1279,47.16839981,-88.4890976,Michigan,United States,1
Salty Games,Sault Ste. Marie,1280,46.25080109,-84.47239685,Michigan,United States,3
Hubba  Hubba Games,Hibbing,1281,47.38660049,-92.83899689,Minnesota,United States,2
Bayside Games,North Bend,1282,43.417099,-124.2460022,Oregon,United States,3
Larry's Games,Laramie,1283,41.31209946,-105.6750031,Wyoming,United States,3
Steel Valley Games,Iron Mountain,1284,45.8202334,-88.0659603,Michigan,United States,2
Local Hobby Shop,International Falls,1285,48.56620026,-93.40309906,Minnesota,United States,2
Saddle Up Games,Cody,1286,44.5263422,-109.0565308,Wyoming,United States,1
Middle Earth Games,Bemidji,1287,47.4736111,-94.8802778,Minnesota,United States,1
Christopher's Games,Columbia,1288,38.81809998,-92.21959686,Missouri,United States,2
Yokel Games,Inyokern,1289,35.6468991,-117.8125674,California,United States,3
Calvins Playful Hobbies,Hobbs,1290,32.7026116,-103.1360403,New Mexico,United States,3
Playtime Game & Hobby Shop,Lewiston,1291,46.37450027,-117.0149994,Idaho,United States,2
Richard's Games,Branson,1292,36.6436731,-93.2185144,Missouri,United States,2
Playtime Game & Hobby Shop,Aguadilla,1293,18.49489975,-67.12940216,Puerto Rico,United States,2
Secrets of Ham Railroad & RC Shop,Guam,1294,13.48340034,144.7960052,U.S. Territories,United States,1
Playtime Game & Hobby Shop,Bangor,1295,44.80739975,-68.82810211,Maine,United States,3
Rising Games,Phoenix,1296,33.30780029,-111.6549988,Arizona,United States,3
Playtime Game & Hobby Shop,Rockford,1297,42.19540024,-89.09719849,Illinois,United States,2
Oyster Games,Klamath Falls,1298,42.15610123,-121.7330017,Oregon,United States,2
El Moro Toys and Hobby Shop ,Ponce,1299,18.00830078,-66.56300354,Puerto Rico,United States,3
Woody's Games,Staunton,1300,38.149576,-79.0716958,Virginia,United States,2
Gwildors Games,Parry Sound,3100,45.345656,-80.032589,Ontario,Canada,3
Maple Leaves Hobbies & Toys,Toronto,3101,43.647343,-79.351394,Ontario,Canada,3
Le Jeu dGuerre Echoppe,Trois-Rivieres,3102,46.345797,-72.542489,Quebec,Canada,3
Old MacDonalds Toy Shoppe,Calgary,3103,50.990358,-114.048944,Alberta,Canada,4
Model Railroading & Hobbies,Edmonton,3104,53.519381,-113.456969,Alberta,Canada,4
Royal Mounted Toys,Brampton,3105,43.679997,-79.754734,Ontario,Canada,3
Kids of All Ages Toys,Vancouver,3106,49.255869,-123.134487,British Columbia,Canada,4
Ye Olde Game Shoppe,Portage la Prairie,3107,49.953728,-98.279722,Manitoba,Canada,2
Newfoundland Trains & Games,Moose Jaw,3108,50.395629,-105.537136,Saskatchewan,Canada,3
Reserved Scotsman Hobbies,St. John,3109,45.268221,-66.055727,New Brunswick,Canada,3
Games People Play,Stratford,3110,46.217336,-63.089161,Pr Edwards Island,Canada,2
The Wee Game Shoppe,Winnepeg,3111,49.828451,-97.139869,Manitoba,Canada,3
Territory Model & RR,Yellowknife,3112,62.451303,-114.367869,Northwest Territory,Canada,1
Eh! Hobbies,Ottawa,3113,45.322441,-75.651598,Ontario,Canada,4
Games of War Warehouse,Halifax,3114,44.644562,-63.574169,Nova Scotia,Canada,3
Model Railroading & Hobbies,Whitehouse,3115,60.700863,-135.062699,Yukon,Canada,1
Bloody Marys Hobbies,Hamilton,4100,32.294816,-64.781375,Hamilton,Bermuda,1
Tommys Playland,New Providence,4101,25.051928,-77.40134,Nassau,The Bahamas_,2
Hobby y Modelo de Tren,Bogota,4102,4.598056,-74.075833,Cundinamarca,Colombia,3
Faithful Toys,Havana,4103,23.1168,-82.388557,Havana,Cuba,2
Hobby en Modeltrein Winkel,Willemstad,4104,19.173773,-96.134224,Willemstad,Curacao,2
Hobby y Modelo de Tren,Santo Domingo,4105,18.5,-69.983333,Santo Domingo Este,Dominican Republic_,1
Passe-temps et Trains Miniatures,Port-au-Prince,4106,18.539692,-72.336205,Ouest,Haiti_,1
The Pirate Booty,Spanish Town,4107,17.994761,-76.951599,Middlesex,Jamaica_,2
Vive Zapata! Modelo de Tren,Ecatepec de Morelos,4108,19.601841,-99.050674,Mexico,Mexico_,4
Vive Zapata! Modelo de Tren,Veracruz,4109,19.173773,-96.134224,Veracruz de Ignacio de la Llave,Mexico_,3
Hobby y Modelo de Tren,Managua,4110,12.136389,-86.251389,Managua,Nicaragua_,2
Two Oceans Pastimes,Panama City,4111,8.994269,-79.518792,Panama,Panama_,2
Hobby en Modeltrein Winkel,Philipsburg,4112,18.027328,-63.050709,Sint Maarten,St Maarten,2
Hobby y Modelo de Tren,Maracaibo,4113,10.64504,-71.637154,Zulia,Venezuela,3
Passatempo e Jogo Importacao,Sao Paulo,4114,-23.548943,-46.638818,Sao Paulo,Brazil,5
Passatempo e Jogo Importacao,Sao Paulo,4115,-23.577231,-46.563921,Sao Paulo,Brazil,4
Casa de Pasatiempos y Juegos,Rio de Janeiro,4116,-22.896274,-43.187728,Rio de Janeiro,Brazil,3
Generales de Sillon,Rio de Janeiro,4117,-22.880538,-43.242402,Rio de Janeiro,Brazil,3
Passatempo e Jogo Importacao,Salvador,4118,-12.970382,-38.512382,Bahia,Brazil,3
San Martin Hobby Club,Buenos Aires,4119,-34.603723,-58.381593,Buenos Aires,Argentina,3
Generales de Sillon,Santa Fe de la Vera Cruz,4120,-31.632389,-60.699459,Santa Fe,Argentina,3
